Equipo;Competencia;Internacional;Oficial;Rival;Minuto;Fecha;Ciudad;Pais;Condición;Resultado Final;
River Plate;Amistoso;No;No;Argentinos Jr.;;24/03/1956;Avellaneda;Argentina;Neutral;6-2;
River Plate;Amistoso;Si;No;Universitario;;29/03/1956;Lima;Perú;Visitante;6-2;
River Plate;Primera División AFA;No;Si;Boca;;22/04/1956;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Vélez;;23/09/1956;Buenos Aires;Argentina;Visitante;1-2;
River Plate;Primera División AFA;No;Si;Newells;;07/10/1956;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;12/10/1956;La Plata;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;Racing;;21/10/1956;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Lanús;;28/10/1956;Lanús;Argentina;Visitante;3-1;
River Plate;Primera División AFA;No;Si;Argentinos Juniors;;01/11/1956;Buenos Aires;Argentina;Local;3-1;
River Plate;Primera División AFA;No;Si;Chacarita;;11/11/1956;Buenos Aires;Argentina;Local;1-1;
River Plate;Primera División AFA;No;Si;Rosario Central;;25/11/1956;Buenos Aires;Argentina;Local;4-0;
River Plate;Amistoso;No;No;Atlanta;;09/12/1956;Buenos Aires;Argentina;Local;2-0;
River Plate;Amistoso;No;No;Atlanta;;09/12/1956;Buenos Aires;Argentina;Local;2-0;
River Plate;Amistoso;Si;No;Alianza Lima (PER);;16/12/1956;Lima;Perú;Visitante;4-3;
River Plate;Amistoso;Si;No;Alianza Lima (PER);;16/12/1956;Lima;Perú;Visitante;4-3;
River Plate;Amistoso;Si;No;Sporting Crystal (PER);;20/12/1956;Lima;Perú;Visitante;2-2;
River Plate;Amistoso;Si;No;Independiente Santa Fé ;;13/01/1957;Bogotá ;Colombia;Visitante;5-1;
River Plate;Amistoso;Si;No;Independiente Santa Fé ;;13/01/1957;Bogotá ;Colombia;Visitante;5-1;
River Plate;Amistoso;No;No;Estudiantes;;21/04/1957;Buenos Aires;Argentina;Local;5-2;
River Plate;Primera División AFA;No;Si;Ferro;;09/06/1957;Buenos Aires;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;Ferro;;09/06/1957;Buenos Aires;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;Huracán;;16/06/1957;Buenos Aires;Argentina;Local;2-2;
River Plate;Primera División AFA;No;Si;Huracán;;16/06/1957;Buenos Aires;Argentina;Local;2-2;
River Plate;Primera División AFA;No;Si;Estudiantes;;30/06/1957;Buenos Aires;Argentina;Local;6-1;
River Plate;Primera División AFA;No;Si;Estudiantes;;30/06/1957;Buenos Aires;Argentina;Local;6-1;
Selección Argentina;Copa Roca;Si;No;Brasil;;07/07/1957;Rio de Janeiro;Brasil;Visitante;2-1;
River Plate;Primera División AFA;No;Si;San Lorenzo;;18/08/1957;Buenos Aires;Argentina;Local;1-1;
River Plate;Primera División AFA;No;Si;Rosario Central;;25/08/1957;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Ferro;;29/09/1957;Buenos Aires;Argentina;Local;7-0;
River Plate;Primera División AFA;No;Si;Ferro;;29/09/1957;Buenos Aires;Argentina;Local;7-0;
River Plate;Primera División AFA;No;Si;Independiente;;05/12/1957;Buenos Aires;Argentina;Local;2-0;
River Plate;Primera División AFA;No;Si;Vélez;;11/12/1957;Buenos Aires;Argentina;Local;5-0;
River Plate;Primera División AFA;No;Si;Vélez;;11/12/1957;Buenos Aires;Argentina;Local;5-0;
River Plate;Amistoso;Si;No;Colo Colo;;12/01/1958;Santiago;Chile;Visitante;4-4;
River Plate;Amistoso;Si;No;Selección de Pichincha;;19/01/1958;Quito;Ecuador;Visitante;4-1;
River Plate;Amistoso;No;No;Independiente;;28/03/1958;Buenos Aires;Argentina;Local;1-2;
River Plate;Primera División AFA;No;Si;Rosario Central;;30/07/1958;Rosario;Argentina;Visitante;2-3;
River Plate;Primera División AFA;No;Si;Independiente;;31/08/1958;Buenos Aires;Argentina;Local;1-1;
River Plate;Primera División AFA;No;Si;Estudiantes;;14/09/1958;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Estudiantes;;14/09/1958;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Estudiantes;;14/09/1958;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Argentinos Juniors;;23/10/1958;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Rosario Central;;12/11/1958;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Rosario Central;;12/11/1958;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Rosario Central;;12/11/1958;Buenos Aires;Argentina;Local;5-1;
River Plate;Amistoso;No;No;Talleres (Cba);;17/12/1958;Córdoba;Argentina;Visitante;5-2;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;24/05/1959;Buenos Aires;Argentina;Local;2-1;
Rangers de Talca;Primera División Chile;No;Si;Audax Italiano;;01/03/1960;Santiago;Chile;Visitante;1-1;* a confirmar
Rampla Juniors;Primera División AUF;No;Si;No determinado;;01/07/1960;;Uruguay;;;
Rampla Juniors;Primera División AUF;No;Si;No determinado;;11/07/1960;;Uruguay;;;
Rampla Juniors;Primera División AUF;No;Si;No determinado;;21/07/1960;;Uruguay;;;
